Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
  1974,6.95,6.87,6.77,6.77,6.87,6.85,6.8,6.71,6.7,6.97,6.97,7.09
  1975,7.61,7.47,7.57,7.55,7.52,7.49,7.75,7.73,7.75,7.83,7.8,7.93
  1976,8.63,7.91,7.78,7.86,7.89,8,8.04,8.03,8.39,8.46,8.61,8.62
  1977,8.5,8.56,8.45,8.41,8.49,8.44,8.47,8.45,8.43,8.72,8.69,8.81
  1978,8.71,8.86,8.8,8.82,8.81,9.05,8.96,9.05,9.15,9.17,9.2,9.47
  1979,9.46,9.69,9.83,10.33,10.71,11.7,13.39,14,14.57,15.06,15.52,17
  1980,17.86,18.86,19.33,20.28,21.05,21.52,22.31,22.62,22.59,23.23,23.99,25.83
  1981,28.81,34.3,34.59,33.92,32.73,31.68,31.1,31.1,31.1,30.98,30.97,30.8
  1982,30.8,29.73,28.31,27.64,27.66,28.12,28.09,27.99,27.99,28.76,28.74,28.02
  1983,27.22,26.41,26.08,25.85,26.08,25.98,25.86,26.03,26.08,26.04,26.09,25.88
  1984,25.93,26.06,26.05,25.93,26,26.09,26.11,26.02,25.97,25.92,25.44,25.05
  1985,24.26,23.64,23.89,24.19,24.18,24.07,24.04,23.99,23.96,24.1,24.27,24.51
  1986,23.12,17.65,12.62,10.68,10.75,10.68,9.25,9.77,11.09,11,11.05,11.73
  1987,13.79,14.51,14.54,14.95,15.29,15.95,16.88,17.06,16.25,15.95,15.46,14.27
  1988,13.64,13.43,12.96,13.92,14.12,13.59,12.38,12.22,11.63,10.62,10.31,11.99
  1989,13.8,14.24,15.65,17.04,16.76,16.42,16.32,15.01,15.58,16.25,16.3,17.01
  1990,18.49,18.16,16.57,14.52,13.82,12.79,14.03,21.87,28.46,30.86,27.53,22.63
  1991,19.6,16.28,15.13,16.16,16.44,15.58,16.36,16.6,16.71,17.72,17.12,14.68
  1992,13.99,14.04,14.12,15.36,16.38,17.96,17.8,17.07,17.2,17.16,16,14.94
  1993,14.7,15.53,15.94,16.15,16.03,15.06,13.83,13.75,13.39,16.27,15.21,12.95
  1994,10.49,10.71,10.94,12.31,14.02,14.93,15.34,14.5,13.62,13.84,14.14,13.43
  1995,14,14.71,14.68,15.84,15.85,15.02,14.01,14.13,14.49,13.68,14.03,15.02
  1996,15.43,15.54,17.63,19.58,17.94,16.94,17.63,18.29,19.93,21.09,20.2,21.34
  1997,21.76,19.38,17.83,16.63,17.23,15.88,15.89,16.19,16.41,17.66,16.83,15.04
  1998,13.45,12.17,11.15,11.28,11.13,10,10.44,10.2,11.29,11.32,9.64,8.03
  1999,8.57,8.6,10.76,12.82,13.92,14.39,16.12,17.58,20.03,19.71,21.35,22.55
  2000,23.53,25.48,26.19,23.2,25.58,27.62,26.81,27.91,29.72,29.65,30.36,24.46
  2001,24.64,25.27,22.98,23.39,24.06,23.43,22.82,23.08,22.37,18.73,16.4,15.54
  2002,15.89,16.93,20.28,22.52,23.51,22.59,23.51,24.76,26.08,25.29,23.38,25.29
  2003,28.42,31.85,30.1,25.45,24.95,26.84,27.52,27.94,25.23,26.53,27.21,28.53
  2004,30.35,31.21,32.86,33.2,35.73,34.53,36.54,40.1,40.56,46.14,42.85,38.22
  2005,40.18,42.19,47.56,47.26,44.03,49.83,53.35,58.9,59.64,56.99,53.2,53.24
  2006,57.85,55.69,55.64,62.52,64.4,64.65,67.71,67.21,59.37,53.26,52.42,55.03
  2007,49.32,52.94,54.95,58.2,58.9,62.35,69.23,67.77,73.27,79.32,87.16,85.28
  2008,87.06,89.41,98.44,106.64,118.55,127.47,128.08,112.83,98.5,73.18,53.67,36.8
  2009,35,34.14,42.45,45.19,52.67,63.09,60.44,65.28,65.28,69.82,71.99,70.42
  2010,72.87,72.74,75.77,78.8,70.91,70.77,71.37,72.07,71.23,76.02,79.2,83.98
  2011,85.66,86.69,99.19,108.8,102.46,97.3,97.82,89,90.22,92.28,100.18,98.71
  2012,98.99,102.04,105.42,103.62,95.57,83.59,86.1,92.53,95.98,92.24,89.64,89.81
  2013,95,95.01,95.54,94.41,94.75,93.82,101.41,102.96,102.32,96.18,88.7,91.85
  2014,89.57,96.86,96.17,96.49,95.74,98.68,96.7,90.72,86.87,78.84,71.07,54.86
  2015,43.06,44.35,42.66,49.3,54.38,55.88,47.7,39.98,41.6,42.34,38.19,32.26
  2016,27.02,25.52,31.87,35.59,41.02,43.96,40.71,40.46,40.55,45,41.65,47.12
  2017,48.19,49.41,46.39,47.23,45.19,42.17,43.42,44.96,47.17,49.12,55.19,56.98
  2018,62.25,61.18,60.68,63.5,66.16,62.8,67,62.64,63.54,65.18,55.65,47.63
  2019,48,52.6,57.46,63,59.73,54.34,56.47,53.63,55.14,53.14,54.96,58.41
  2020,56.55,49.66,31.01,15.18,18.02,33.81,37.44,39.37,36.82,36.39,38.25,43.92
  2021,49.47,56.44,60.43,59.87,62.8,68.58,70.12,65.68,69.09,78.51,76.45,70.56
  2022,80.33,89.41,107.07,103.32,108.29,113.77,100.84,93.76,84.62,86.61,84.43,
